activity_name,best_match,confidence_score,category
technicien de maintenance du matériel prépresse ctp,Other,0.779,new propodsed
معالجة ملفات تأشيرة و خدمات الزبائن,Other,0.633,new propodsed
مستشار مختص بتأشيرات السفر و برامج الهجرة,مستشار الهجرة السحابية,0.839,exist
الرسم بالزيت والرمل,Other,0.66,new propodsed
dessinateur projeteur en travaux publics et suivi technique,dessinateur d'exécution en mécanique,0.848,exist
كهرباء معمارية,ﺣرﻓﻲ ﻛﻬرﺑﺎﺋﻲ  ﻓﻲ اﻟﺑﻧﺎﻳﺎت ﺗرﻛﻳب اﻟﻛﻬرﺑﺎء,0.844,rejected because has rejistre comercial or hirafi
btp,Other,0.618,new propodsed
التركيب الصحي و الغاز و التدفئة المركزية,Other,0.822,new propodsed
نجارة,اﻟﺳﺎﻗﻳﺔ,0.893,rejected because has rejistre comercial or hirafi
menuiserie,Other,0.797,new propodsed
مختص في تربية النحل,Other,0.628,new propodsed
tourisme,دليل في السياحة,0.944,rejected because has rejistre comercial or hirafi
garde malade,Other,0.735,new propodsed
ميكانيكي السيارات,ﺣرﻓﻲ ﻣﻳﻛﺎﻧﻳﻛﻲ اﻟﺳﻳﺎرات اﻟﺗﺻﻠﻳﺢ اﻟﻣﻳﻛﺎﻧﻳﻛﻲ ﻟﻠﺳﻳﺎرات,0.887,rejected because has rejistre comercial or hirafi
كل أعمال الجبس الفنية,Other,0.758,new propodsed
repartion chod et froid,Other,0.695,new propodsed
development commercial,Other,0.636,new propodsed
conseiller en hôtellerie et du tourisme.,Other,0.802,new propodsed
vente produit de beauté,تجارة بالتجزئة لمنتجات العطارة و مواد التجميل ، الممارسة على العرض,0.852,rejected because has rejistre comercial or hirafi
سائق vtc,سائق vtc (سيارة نقل مع سائق),0.887,exist
دهان,دهان متنقل,0.918,rejected because has rejistre comercial or hirafi
dortoirs,Other,0.787,new propodsed
إستخراج الزيوت النباتات العطرية و الطبية,Other,0.805,new propodsed
cours d’anglais en ligne,Other,0.762,new propodsed
maçon,مرشات,0.858,rejected because has rejistre comercial or hirafi
modification des phares automobiles,Other,0.803,new propodsed
expert en développement des compétences,Other,0.782,new propodsed
plombier سباك,عامل تقطيع المصفحة,0.905,exist
crochet,Other,0.614,new propodsed
réparation airbags,Other,0.663,new propodsed
بناء,اﻟﺑﻧﺎء,0.987,rejected because has rejistre comercial or hirafi
technicien électricien,technicien d'essais en électricité,0.953,exist
مركب في الاتصالات,مركب في الاتصالات,1.0,exist
soudeur,soudeur,1.0,exist
الخياطة و  تغليف مقاعد السيارات,ﺗزﻳﻳن وﺗﺻﻠﻳﺢ ﻣﻘﺎﻋد اﻟﺳﻳﺎرات,0.872,rejected because has rejistre comercial or hirafi
plateforme micro service,Other,0.717,new propodsed
البناء,اﻟﺑﻧﺎء,1.0,rejected because has rejistre comercial or hirafi
peintre et plaquiste,peintre en décor spectacle,0.889,exist
imprimeur,مركب الماسح في الطباعة,0.916,exist
scanner auto,Other,0.786,new propodsed
commerce,Other,0.786,new propodsed
تجارة,تجارة بالتجزئة للبزاة,0.907,rejected because has rejistre comercial or hirafi
micanic mobil,Other,0.807,new propodsed
الأشغال الصغيرة للبناء والدهن,Other,0.74,new propodsed
بائع مجوهرات,Other,0.827,new propodsed
حلاق متنقل,مجلخ متنقل,0.955,rejected because has rejistre comercial or hirafi
agence de voyage,وكالة السفر والسياحة,0.887,rejected because has rejistre comercial or hirafi
formation des perssones dans le dommaine d'aide aux  enfants,Other,0.702,new propodsed
رسكلة البلاستيك,اﻟﺑﻼﺳﺗﻳﻛﻳﺔ,0.965,rejected because has rejistre comercial or hirafi
créer sa propre marque de parfum (e-commerce),Other,0.649,new propodsed
الترويج والتسويق و الاشهار لمنتجات الحرفيين من المنزل,Other,0.765,new propodsed
سياحة وكالة أسفار,وكالة السفر والسياحة,0.926,rejected because has rejistre comercial or hirafi
حلويات,حلويات,1.0,rejected because has rejistre comercial or hirafi
صناعة ديكورات من المنزل,Other,0.791,new propodsed
كلونديستان,Other,0.73,new propodsed
تجارة الخردوات والعقاقير,تجارة بالتجزئة للعقاقير,0.938,rejected because has rejistre comercial or hirafi
création graphique,designer graphique,0.903,exist
مستشار في تسيير الموارد البشرية,مساعد في تسيير الموارد البشرية,0.942,exist
روضة,اﻟﺣﺑرﻳﺔ,0.944,rejected because has rejistre comercial or hirafi
e-pharmacie,Other,0.72,new propodsed
design d'intérieur,Other,0.747,new propodsed
pvc,Other,0.594,new propodsed
etancheiste,eclairagiste,0.834,exist
guide touristique et organisateur de sortie touristique,Other,0.816,new propodsed
plombier,technicien de plancher,0.905,exist
تربية و تعليم ركوب الخيل,Other,0.644,new propodsed
ناشطة,Other,0.749,new propodsed
menuiserie aluminium,Other,0.758,new propodsed
"supports automatisés, ses accessoires et fournitures téléphoniques",Other,0.785,new propodsed
"placo plâtre, allucoband, alluminuim",Other,0.752,new propodsed
